2016-01-17 22:22:34,875 [Worker-25] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://oss.sonatype.org/content/groups/public/org/yaml/snakeyaml/1.17-SNAPSHOT/snakeyaml-1.17-20160107.164044-38.jar
2016-01-17 22:22:35,101 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-17 22:22:35,103 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-01-17 22:22:35,105 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-17 22:22:35,106 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-01-17 22:22:36,392 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-17 22:22:36,393 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-01-17 22:22:36,394 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-17 22:22:36,395 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-01-17 22:22:40,744 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2016-01-17 22:22:57,774 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-01-17 22:23:03,730 [Worker-22] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/baiqizhang/CMU/Course/18842_DS/DSTeam10/lab0
2016-01-17 22:23:03,730 [Worker-22] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B 
2016-01-17 22:23:52,115 [Worker-22] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-01-17 22:23:52,432 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.team10.lab0:lab0:0.0.1-SNAPSHOT @ /Users/baiqizhang/CMU/Course/18842_DS/DSTeam10/lab0/pom.xml.
2016-01-17 22:23:52,575 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /lab0/src/main/java
2016-01-17 22:23:52,575 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /lab0/src/main/resources
2016-01-17 22:23:52,576 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /lab0/src/test/java
2016-01-17 22:23:52,576 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /lab0/src/test/resources
2016-01-17 22:23:52,657 [Worker-22] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2016-01-17 22:23:52,790 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-17 22:23:52,791 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-01-17 22:23:52,793 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-17 22:23:52,794 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-01-17 22:24:28,074 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-17 22:24:28,077 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
